order,line,lon,lat,type
207,92,-125.215,45.75821,compulsory
208,92,-124.005,45.7582,compulsory
209,93,-125.353,45.92567,compulsory
210,93,-124.02,45.9257,compulsory
211,94,-125.446,46.08743,compulsory
212,94,-124.04,46.0874,compulsory
213,95,-125.349,46.25459,compulsory
214,95,-124.186,46.2546,compulsory
215,96,-125.15,46.4218,compulsory
216,96,-124.202,46.4218,compulsory
217,97,-125.241,46.58891,compulsory
218,97,-124.189,46.5835,compulsory
219,98,-125.338,46.75067,compulsory
220,98,-124.194,46.7507,compulsory
221,99,-125.302,46.91783,compulsory
222,99,-124.28,46.9232,compulsory
223,100,-125.885,47.09577,compulsory
224,100,-124.333,47.0958,compulsory
225,101,-125.968,47.25754,compulsory
226,101,-124.395,47.2575,compulsory
227,102,-126.141,47.4247,compulsory
228,102,-124.509,47.4247,compulsory
229,103,-126.173,47.59186,compulsory
230,103,-124.559,47.5919,compulsory
231,105,-126.36,47.92617,compulsory
232,105,-124.763,47.9262,compulsory
233,107,-126.333,48.26083,compulsory
234,107,-124.824,48.2608,compulsory
235,109,-125.258522,48.448372,compulsory
236,109,-124.974384,48.668662,compulsory
237,111,-125.914536,48.447181,compulsory
238,111,-125.440105,48.832449,compulsory
239,113,-126.609896,48.445371,compulsory
240,113,-125.879865,49.00602,compulsory
241,115,-126.981787,48.672692,compulsory
242,115,-126.269415,49.225031,compulsory
243,117,-127.188316,49.037877,compulsory
244,117,-126.712678,49.40553,compulsory
245,119,-127.635649,49.211072,compulsory
246,119,-126.980721,49.72005,compulsory
247,121,-127.977085,49.467073,compulsory
248,121,-127.373434,49.939217,compulsory
249,123,-128.461784,49.625966,compulsory
250,123,-127.880885,50.082869,compulsory
251,125,-128.702283,49.975612,compulsory
252,125,-128.113985,50.462275,compulsory
253,127,-129.035649,50.238687,compulsory
254,127,-128.452073,50.723036,compulsory
